bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,02/02/14,Atalanta,Napoli,3,0,89.2,1.6,12.22,4.33,1.85,0.4,0.72,4.575,7,7
1,09/02/14,Lazio,Roma,0,0,69.2,1.52,21.65,3.75,2.0,0.54,0.74,6.525,7,7
1,09/02/14,Verona,Juventus,2,2,49.2,1.48,9.93,8.0,1.4,0.52,0.87,3.75,7,7
2,16/02/14,Roma,Sampdoria,3,0,29.2,2.39,2.62,1.33,9.0,0.73,0.48,0.24,7,7
1,16/02/14,Sassuolo,Napoli,0,2,9.2,1.52,12.7,6.0,1.57,0.26,0.7,7.5,7,7
1,22/02/14,Bologna,Roma,0,1,-10.8,1.57,8.82,7.0,1.5,0.39,0.75,3.6,7,7
2,23/02/14,Inter,Cagliari,1,1,-30.8,2.64,2.61,1.44,7.5,0.52,0.4,0.25344,7,7
1,02/03/14,Milan,Juventus,0,2,-50.8,1.56,14.0,3.6,2.0,0.6,0.87,4.35,7,7
1,15/03/14,Verona,Inter,0,2,-70.8,1.56,15.33,3.25,2.15,0.48,0.55,3.75,7,7
1,16/03/14,Genoa,Juventus,0,1,-90.8,1.65,6.09,7.0,1.44,0.48,0.88,2.25,7,7
2,17/03/14,Roma,Udinese,3,2,-110.8,2.2,3.1,1.36,9.5,0.71,0.49,0.32448,7,7
1,17/03/14,Torino,Napoli,0,1,-130.8,1.57,17.21,3.4,2.15,0.45,0.7,5.7,7,7
1,22/03/14,Chievo,Roma,0,2,-150.8,1.56,12.29,6.5,1.57,0.36,0.73,5.325,7,7
1,23/03/14,Catania,Juventus,0,1,-170.8,2.01,3.56,8.0,1.4,0.35,0.89,1.5,7,7
1,26/03/14,Catania,Napoli,2,4,-190.8,1.68,7.89,4.75,1.75,0.33,0.68,3.225,7,7
1,30/03/14,Sassuolo,Roma,0,2,-210.8,1.55,11.59,7.0,1.53,0.25,0.75,7.5,7,7
2,05/04/14,Inter,Bologna,2,2,-230.8,2.41,2.76,1.36,9.0,0.53,0.36,0.2592,7,7
1,07/04/14,Genoa,Milan,1,2,-250.8,1.7,9.29,3.8,2.0,0.47,0.56,2.175,7,7
1,14/04/14,Udinese,Juventus,0,2,-270.8,1.8,5.53,5.5,1.62,0.49,0.86,1.8,7,7
1,19/04/14,Udinese,Napoli,1,1,-290.8,1.51,18.79,3.5,2.05,0.46,0.7,6.3,7,7
1,26/04/14,Bologna,Fiorentina,0,3,-310.8,1.56,15.07,3.4,2.1,0.35,0.58,5.325,7,7
1,28/04/14,Sassuolo,Juventus,1,3,-330.8,1.56,6.77,7.0,1.4,0.34,0.88,3.75,7,7
1,04/05/14,Catania,Roma,4,1,-220.8,1.49,9.47,6.5,1.44,0.29,0.82,6.0,7,7
2,04/05/14,Parma,Sampdoria,2,0,-240.8,3.08,2.45,1.5,7.5,0.51,0.47,0.24384,7,7
1,11/05/14,Atalanta,Milan,2,1,-150.8,1.63,8.01,5.5,1.62,0.45,0.62,2.25,7,7
1,11/05/14,Cagliari,Chievo,0,1,-170.8,1.52,28.52,3.6,2.1,0.43,0.32,4.65,7,7
1,18/05/14,Genoa,Roma,1,0,-100.8,1.78,5.7,4.5,1.73,0.39,0.74,2.025,7,7
1,30/08/14,Chievo,Juventus,0,1,-120.8,1.97,4.12,7.0,1.5,0.38,0.9,1.65,7,7
1,31/08/14,Genoa,Napoli,1,2,-140.8,1.67,9.3,3.9,1.95,0.42,0.73,3.225,7,7
1,13/09/14,Empoli,Roma,0,1,-160.8,1.57,10.41,5.5,1.62,0.36,0.72,4.425,7,7
1,21/09/14,Palermo,Inter,1,1,-180.8,1.55,16.44,3.75,2.0,0.33,0.56,6.0,7,7
1,21/09/14,Udinese,Napoli,1,0,-134.8,1.55,20.43,3.3,2.2,0.47,0.7,6.525,7,7
1,23/09/14,Empoli,Milan,2,2,-154.8,1.71,8.84,4.5,1.85,0.35,0.61,3.0,7,7
1,28/09/14,Cesena,Milan,1,1,-174.8,2.0,4.26,5.5,1.62,0.27,0.6,1.575,7,7
1,28/09/14,Sassuolo,Napoli,0,1,-194.8,1.78,6.6,4.5,1.8,0.37,0.65,2.175,7,7
1,18/10/14,Sassuolo,Juventus,1,1,-214.8,1.86,4.16,7.5,1.4,0.33,0.93,2.1,7,7
1,19/10/14,Verona,Milan,1,3,-234.8,1.51,23.22,3.4,2.1,0.53,0.62,6.0,7,7
1,25/10/14,Sampdoria,Roma,0,0,-254.8,1.56,13.87,3.6,2.0,0.54,0.75,4.125,7,7
1,26/10/14,Cesena,Inter,0,1,-274.8,2.06,4.24,6.5,1.57,0.28,0.52,1.275,7,7
1,29/10/14,Genoa,Juventus,1,0,-154.8,1.85,4.78,7.0,1.5,0.48,0.92,1.65,7,7
1,01/11/14,Empoli,Juventus,0,2,-174.8,2.02,3.76,7.5,1.44,0.36,0.87,1.5,7,7
1,01/11/14,Parma,Inter,2,0,-126.8,1.59,13.19,3.4,2.1,0.39,0.57,4.05,7,7
1,22/11/14,Atalanta,Roma,1,2,-146.8,1.81,6.55,4.5,1.83,0.42,0.73,2.1,7,7
1,05/12/14,Fiorentina,Juventus,0,0,-166.8,1.63,10.81,3.8,2.05,0.57,0.89,3.45,7,7
2,07/12/14,Inter,Udinese,1,2,-36.8,3.27,2.25,1.5,7.5,0.51,0.47,0.2112,7,7
1,07/12/14,Parma,Lazio,1,2,-56.8,1.64,10.34,3.6,2.1,0.35,0.55,3.3,7,7
1,14/12/14,Cesena,Fiorentina,1,4,-76.8,1.82,5.3,7.5,1.53,0.23,0.57,2.4,7,7
1,14/12/14,Genoa,Roma,0,1,-96.8,1.53,16.46,3.6,2.05,0.58,0.74,4.575,7,7
2,14/12/14,Juventus,Sampdoria,1,1,-116.8,2.32,2.8,1.36,9.0,0.87,0.56,0.2592,7,7
1,15/12/14,Chievo,Inter,0,2,-136.8,1.57,14.88,4.2,1.95,0.39,0.48,3.9,7,7
1,18/12/14,Cagliari,Juventus,1,3,-156.8,2.02,3.55,8.0,1.4,0.35,0.85,1.425,7,7
1,06/01/15,Cesena,Napoli,1,4,-176.8,2.09,3.22,9.5,1.36,0.23,0.67,1.5,7,7
1,06/01/15,Parma,Fiorentina,1,0,-116.8,1.59,11.79,4.0,1.95,0.33,0.58,4.35,7,7
1,06/01/15,Udinese,Roma,0,1,-136.8,1.63,9.8,4.2,1.91,0.47,0.74,3.15,7,7
1,17/01/15,Palermo,Roma,1,1,-156.8,1.57,16.51,3.6,2.15,0.48,0.74,5.4,7,7
1,18/01/15,Cesena,Torino,2,3,-176.8,1.59,14.61,4.75,1.85,0.2,0.49,7.5,7,7
1,18/01/15,Chievo,Fiorentina,1,2,-196.8,1.69,9.65,4.0,2.0,0.41,0.58,2.7,7,7
2,18/01/15,Juventus,Verona,4,0,-216.8,1.58,4.47,1.18,17.0,0.85,0.45,0.4992,7,7
1,01/02/15,Cesena,Lazio,2,1,-86.8,2.46,3.02,7.5,1.53,0.23,0.59,1.05,7,7
1,01/02/15,Udinese,Juventus,0,0,-106.8,2.06,3.54,8.0,1.44,0.47,0.86,1.05,7,7
1,08/02/15,Cagliari,Roma,1,2,-126.8,1.59,12.71,4.0,2.0,0.37,0.71,5.1,7,7
1,14/02/15,Palermo,Napoli,3,1,-66.8,1.69,9.61,4.0,2.0,0.48,0.72,2.85,7,7
1,15/02/15,Cesena,Juventus,2,2,-86.8,3.41,1.85,15.0,1.22,0.26,0.86,0.6,7,7
1,15/02/15,Udinese,Lazio,0,1,-106.8,1.52,28.76,3.1,2.38,0.45,0.53,7.425,7,7
1,22/02/15,Verona,Roma,1,1,-126.8,1.94,4.81,5.0,1.75,0.39,0.71,1.5,7,7
1,14/03/15,Palermo,Juventus,0,1,-146.8,1.76,7.3,4.75,1.8,0.49,0.85,2.4,7,7
1,15/03/15,Verona,Napoli,2,0,-76.8,1.87,5.57,4.5,1.85,0.43,0.65,1.5,7,7
2,04/04/15,Inter,Parma,1,1,-96.8,2.19,2.57,1.2,15.0,0.5,0.26,0.20352,7,7
1,08/04/15,Parma,Udinese,1,0,-36.8,1.62,14.37,4.0,2.05,0.28,0.44,4.65,7,7
1,11/04/15,Parma,Juventus,1,0,123.2,1.85,3.86,9.0,1.33,0.31,0.87,1.95,7,7
1,29/04/15,Sassuolo,Roma,0,3,103.2,1.55,11.3,4.33,1.8,0.4,0.63,3.825,7,7
1,03/05/15,Atalanta,Lazio,1,1,83.2,1.5,14.83,5.0,1.73,0.42,0.67,5.25,7,7
2,03/05/15,Napoli,Milan,3,0,63.2,2.95,2.33,1.5,6.5,0.6,0.49,0.21504,7,7
1,09/05/15,Milan,Roma,2,1,119.2,1.53,16.32,3.8,2.0,0.46,0.67,5.175,7,7
1,10/05/15,Parma,Napoli,2,2,99.2,1.39,10.99,9.0,1.33,0.33,0.63,5.025,7,7
2,18/05/15,Fiorentina,Parma,3,0,79.2,2.4,2.33,1.22,13.0,0.56,0.34,0.19584,7,7
1,24/05/15,Palermo,Fiorentina,2,3,59.2,1.59,11.71,3.4,2.15,0.46,0.59,3.15,7,7
1,30/05/15,Verona,Juventus,2,2,39.2,1.88,4.96,5.0,1.7,0.48,0.82,1.5,7,7
1,22/08/15,Verona,Roma,1,1,19.2,1.76,6.04,5.5,1.67,0.48,0.63,1.5,7,7
1,23/08/15,Frosinone,Torino,1,2,-0.8,1.52,30.99,3.5,2.2,0.5,0.55,7.5,7,7
1,30/08/15,Carpi,Inter,1,2,-20.8,1.76,6.83,4.5,1.85,0.1,0.58,7.5,7,7
1,12/09/15,Frosinone,Roma,0,2,-40.8,1.63,5.65,9.5,1.36,0.1,0.65,7.5,7,7
