bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,10/11/12,Augsburg,Dortmund,1,3,499.0,1.62,7.28,6.5,1.5,0.39,0.74,2.85,7,7
2,10/11/12,Bayern Munich,Ein Frankfurt,2,0,479.0,1.68,3.83,1.17,16.0,0.81,0.47,0.4416,7,7
1,17/11/12,Nurnberg,Bayern Munich,1,1,459.0,1.67,4.52,10.0,1.29,0.41,0.82,1.8,7,7
2,24/11/12,Bayern Munich,Hannover,5,0,439.0,1.91,2.99,1.17,15.0,0.8,0.5,0.3264,7,7
1,24/11/12,Mainz,Dortmund,1,2,419.0,1.57,10.16,5.5,1.62,0.48,0.77,3.45,7,7
1,27/11/12,Hamburg,Schalke 04,3,1,489.0,1.51,19.88,4.5,1.8,0.44,0.63,6.3,7,7
1,28/11/12,Freiburg,Bayern Munich,0,2,469.0,1.8,4.25,8.0,1.36,0.53,0.81,1.2,7,7
1,08/12/12,Augsburg,Bayern Munich,0,2,449.0,1.67,4.55,10.0,1.29,0.35,0.81,2.1,7,7
1,08/12/12,Stuttgart,Schalke 04,3,1,491.0,1.48,32.97,3.1,2.25,0.59,0.59,7.425,7,7
1,19/01/13,Werder Bremen,Dortmund,0,5,471.0,1.72,6.54,5.0,1.67,0.44,0.73,2.1,7,7
1,27/01/13,Stuttgart,Bayern Munich,0,2,451.0,1.73,5.02,8.0,1.4,0.55,0.81,1.425,7,7
1,02/02/13,Fortuna Dusseldorf,Stuttgart,3,1,495.0,1.53,26.44,3.2,2.25,0.4,0.52,7.5,7,7
1,02/02/13,Mainz,Bayern Munich,0,3,475.0,1.42,13.48,8.0,1.4,0.54,0.82,4.8,7,7
2,09/02/13,Dortmund,Hamburg,1,4,655.0,2.15,2.72,1.25,10.0,0.77,0.48,0.26304,7,7
1,09/02/13,M'gladbach,Leverkusen,3,3,635.0,1.49,27.08,3.1,2.25,0.57,0.63,6.675,7,7
1,15/02/13,Wolfsburg,Bayern Munich,0,2,615.0,1.92,3.71,7.0,1.4,0.48,0.84,1.125,7,7
2,16/02/13,Dortmund,Ein Frankfurt,3,0,595.0,2.61,2.46,1.4,7.5,0.73,0.51,0.21888,7,7
1,24/02/13,Greuther Furth,Leverkusen,0,0,575.0,1.75,6.66,4.75,1.75,0.22,0.65,3.75,7,7
1,24/02/13,M'gladbach,Dortmund,1,1,555.0,1.6,8.03,5.0,1.62,0.54,0.75,2.325,7,7
2,02/03/13,Dortmund,Hannover,3,1,535.0,2.18,2.85,1.3,9.5,0.73,0.51,0.30528,7,7
1,03/03/13,Hoffenheim,Bayern Munich,0,1,515.0,2.3,2.61,12.0,1.25,0.29,0.86,1.125,7,7
2,09/03/13,Bayern Munich,Fortuna Dusseldorf,3,2,495.0,1.61,3.72,1.1,21.0,0.86,0.43,0.384,7,7
1,09/03/13,Schalke 04,Dortmund,2,1,545.0,1.47,24.23,3.5,2.0,0.55,0.75,7.5,7,7
1,16/03/13,Leverkusen,Bayern Munich,1,2,525.0,1.46,21.26,4.2,1.8,0.62,0.87,6.825,7,7
1,30/03/13,Fortuna Dusseldorf,Leverkusen,1,4,505.0,1.56,12.21,4.33,1.8,0.41,0.59,3.75,7,7
1,30/03/13,Stuttgart,Dortmund,1,2,485.0,1.49,19.69,3.8,1.91,0.47,0.72,6.75,7,7
1,31/03/13,Greuther Furth,Ein Frankfurt,2,3,465.0,1.55,20.65,3.25,2.25,0.26,0.44,7.5,7,7
1,06/04/13,Ein Frankfurt,Bayern Munich,0,1,445.0,1.7,6.24,6.0,1.53,0.47,0.89,2.325,7,7
1,13/04/13,Greuther Furth,Dortmund,1,6,425.0,1.65,5.45,7.5,1.4,0.22,0.75,3.75,7,7
1,20/04/13,Hannover,Bayern Munich,1,6,405.0,1.61,7.77,5.5,1.57,0.46,0.9,3.15,7,7
1,27/04/13,Fortuna Dusseldorf,Dortmund,1,2,385.0,1.47,14.41,4.75,1.67,0.34,0.78,7.5,7,7
1,04/05/13,Nurnberg,Leverkusen,0,2,365.0,1.51,16.26,3.75,1.91,0.47,0.64,4.875,7,7
1,11/05/13,Greuther Furth,Freiburg,1,2,345.0,1.59,9.45,4.5,1.75,0.29,0.55,3.75,7,7
2,11/05/13,Leverkusen,Hannover,3,1,325.0,2.33,2.58,1.3,9.0,0.66,0.47,0.26304,7,7
1,11/05/13,Wolfsburg,Dortmund,3,3,305.0,1.55,12.81,4.0,1.85,0.52,0.78,4.125,7,7
1,18/05/13,Hamburg,Leverkusen,0,1,285.0,1.47,14.83,3.0,2.1,0.51,0.68,4.5,7,7
2,09/08/13,Bayern Munich,M'gladbach,3,1,265.0,1.93,2.75,1.13,19.0,0.9,0.5,0.26496,7,7
1,10/08/13,Augsburg,Dortmund,0,4,245.0,2.11,3.4,7.0,1.44,0.43,0.72,0.9,7,7
2,11/08/13,Schalke 04,Hamburg,3,3,225.0,2.85,2.39,1.44,7.0,0.59,0.49,0.23232,7,7
1,17/08/13,Ein Frankfurt,Bayern Munich,0,1,205.0,1.71,4.47,10.0,1.29,0.46,0.91,1.725,7,7
2,24/08/13,Bayern Munich,Nurnberg,2,0,185.0,1.4,5.76,1.1,26.0,0.91,0.5,0.75456,7,7
1,27/08/13,Freiburg,Bayern Munich,1,1,165.0,2.48,2.41,13.0,1.25,0.49,0.91,0.6,7,7
1,31/08/13,Schalke 04,Leverkusen,2,0,209.0,1.51,19.0,3.2,2.15,0.53,0.74,5.85,7,7
1,01/09/13,Ein Frankfurt,Dortmund,1,2,189.0,1.46,11.75,6.0,1.5,0.46,0.76,4.425,7,7
2,14/09/13,Bayern Munich,Hannover,2,0,169.0,1.49,4.74,1.13,21.0,0.89,0.53,0.63168,7,7
1,21/09/13,Nurnberg,Dortmund,1,1,149.0,1.77,4.09,8.0,1.33,0.45,0.79,1.35,7,7
1,21/09/13,Schalke 04,Bayern Munich,0,4,129.0,1.84,4.45,5.5,1.53,0.57,0.9,1.275,7,7
1,29/09/13,Braunschweig,Stuttgart,0,4,109.0,1.72,7.43,4.0,1.91,0.09,0.47,7.5,7,7
